# time, number
1362048661000,15.58355442
1362048781000,17.14943763
1362048901000,15.69075109
1362049021000,19.87373829
1362049141000,18.36993232
1362049261000,12.58940242
1362049381000,15.07083159
1362049501000,10.90180625
1362049621000,11.63934314
1362049741000,18.23814038
1362049861000,17.74942649
1362049981000,17.97853987
1362050101000,10.05711656
1362050221000,11.34850646
1362050341000,14.28433294
1362050461000,17.74552661
1362050581000,11.88215994
1362050701000,18.34390963
1362050821000,18.4215187
1362050941000,10.66255939
1362051061000,13.16801865
1362051181000,10.90486618
1362051301000,16.49273877
1362051421000,15.37481206
1362051541000,14.64283082
1362051661000,10.92453256
1362051781000,17.21076889
1362051901000,18.27280012
1362052021000,18.20059806
1362052141000,11.27646531
1362052261000,14.08275486
1362052381000,16.44462508
1362052501000,14.72565564
1362052621000,14.32020205
1362052741000,12.04182905
1362052861000,17.97135786
1362052981000,18.77770025
1362053101000,10.82660102
1362053221000,14.7193045
1362053341000,14.24056559
1362053461000,11.01199612
1362053581000,12.32590125
1362053701000,18.39183836
1362053821000,19.48749779
1362053941000,11.52260372
1362054061000,11.78929022
1362054181000,14.89911236
1362054301000,19.89584943
1362054421000,15.78008569
1362054541000,19.09437216
1362054661000,10.63529488
1362054781000,17.49808153
1362054901000,18.00248076
1362055021000,17.70659081
1362055141000,11.39039704
1362055261000,11.13263928
1362055381000,13.13271285
1362055501000,10.49200496
1362055621000,13.1218314
1362055741000,19.10167633
1362055861000,18.59971315
1362055981000,17.53639379
1362056101000,11.89211465
1362056221000,12.18581232
1362056341000,16.64140533
1362056461000,15.05600644
1362056581000,16.90928873
1362056701000,15.97483799
1362056821000,11.42037777
1362056941000,16.97924713
1362057061000,13.86747256
1362057181000,11.60671109
1362057301000,10.3617543
1362057421000,11.85413539
1362057541000,11.62371648
1362057661000,13.14061364
1362057781000,13.11087088
1362057901000,19.48853468
1362058021000,19.70472764
1362058141000,17.30039614
1362058261000,19.15798519
1362058381000,18.50659854
1362058501000,10.80360869
1362058621000,10.53938691
1362058741000,19.035682
1362058861000,10.71905152
1362058981000,15.65466758
1362059101000,14.41190222
1362059221000,17.72588494
1362059341000,12.20114348
1362059461000,11.10252352
1362059581000,12.94255202
1362059701000,10.20559732
1362059821000,17.54382056
1362059941000,12.20283548
1362060061000,13.14866959
1362060181000,16.99915756
1362060301000,15.57921055
1362060421000,17.10687651
1362060541000,17.0641257
1362060661000,10.97056114
1362060781000,11.13739417
1362060901000,16.85019093
1362061021000,15.71420725
1362061141000,17.5212565
1362061261000,15.3021626
1362061381000,13.61096384
1362061501000,14.23269931
1362061621000,11.07762425
1362061741000,16.28248086
1362061861000,15.22919796
1362061981000,19.31095124
1362062101000,11.43972128
1362062221000,13.73573536
1362062341000,13.45678434
1362062461000,19.95116362
1362062581000,13.21885426
1362062701000,11.08947517
1362062821000,10.77439838
1362062941000,11.55738522
1362063061000,18.59896726
1362063181000,14.77149446
1362063301000,19.98297675
1362063421000,17.35903355
1362063541000,17.18357951
1362063661000,17.89064583
1362063781000,12.98192511
1362063901000,17.06663725
1362064021000,14.11401534
1362064141000,19.3276359
1362064261000,19.63311782
1362064381000,18.79657393
1362064501000,11.4613082
1362064621000,11.14519919
1362064741000,15.05954239
1362064861000,16.52884528
1362064981000,18.32522597
1362065101000,18.97905748
1362065221000,18.93055075
1362065341000,16.01781923
1362065461000,19.60758636
1362065581000,16.93585635
1362065701000,10.65424282
1362065821000,10.54307144
1362065941000,18.1823776
1362066061000,19.97557762
1362066181000,15.21104527
1362066301000,13.18017953
1362066421000,17.43979107
1362066541000,14.04153624
1362066661000,17.9364247
1362066781000,19.55557596
1362066901000,17.63761394
1362067021000,12.51840506
1362067141000,14.09660401
1362067261000,15.33179065
1362067381000,14.07214934
1362067501000,12.8461874
1362067621000,15.64268179
1362067741000,12.1836466
1362067861000,11.0458244
1362067981000,15.79514387
1362068101000,19.32804967
1362068221000,11.98016555
1362068341000,19.14277922
1362068461000,13.32096718
1362068581000,18.88442568
1362068701000,18.43829269
1362068821000,19.37145302
1362068941000,15.85356216
1362069061000,14.22724957
1362069181000,18.76177642
1362069301000,14.21732603
1362069421000,13.72443931
1362069541000,10.11730017
1362069661000,19.16858176
1362069781000,17.14488027
1362069901000,17.84628071
1362070021000,12.24831085
1362070141000,19.44410215
1362070261000,13.07080584
1362070381000,19.66502574
1362070501000,15.29878377
1362070621000,16.08411262
1362070741000,11.80903569
1362070861000,13.18355477
1362070981000,11.4973788
1362071101000,17.40241963
1362071221000,15.44699933
1362071341000,14.14854793
1362071461000,12.06912496
1362071581000,19.30010243
1362071701000,19.67615268
1362071821000,11.070057
1362071941000,16.08785778
1362072061000,16.3283959
1362072181000,16.98905384
1362072301000,10.35990664
1362072421000,13.24573477
1362072541000,13.46815278
1362072661000,15.19547378
1362072781000,13.85676831
1362072901000,12.54778364
1362073021000,11.07993225
1362073141000,13.94694145
1362073261000,16.27240607
1362073381000,14.14910791
1362073501000,13.63873011
1362073621000,11.51628339
1362073741000,16.93766855
1362073861000,11.78277976
1362073981000,17.50570485
1362074101000,14.26037684
1362074221000,14.13319576
1362074341000,10.71410402
1362074461000,15.22850506
1362074581000,11.82884266
1362074701000,11.12392361
1362074821000,14.12587671
1362074941000,19.98518784
1362075061000,13.40251859
1362075181000,13.93911078
1362075301000,14.92669349
1362075421000,17.79405562
1362075541000,19.66972317
1362075661000,13.19114955
1362075781000,17.17736504
1362075901000,14.04848824
1362076021000,15.4806881
1362076141000,14.61547341
1362076261000,11.27364035
1362076381000,11.40535276
1362076501000,15.09252819
1362076621000,16.33779197
1362076741000,15.15102499
1362076861000,15.93308923
1362076981000,17.41464749
1362077101000,16.80745545
1362077221000,11.76960161
1362077341000,18.06541787
1362077461000,19.43982797
1362077581000,19.38194707
1362077701000,18.2773323
1362077821000,11.28514668
1362077941000,10.35612293
1362078061000,13.09623798
1362078181000,11.01935832
1362078301000,12.24986669
1362078421000,17.40301656
1362078541000,15.18698294
1362078661000,14.07164414
1362078781000,19.64696659
1362078901000,15.99029939
1362079021000,13.03001682
1362079141000,14.21645921
1362079261000,16.30318025
1362079381000,15.88842676
1362079501000,11.22263642
1362079621000,14.60952781
1362079741000,12.49725831
1362079861000,17.14014186
1362079981000,19.1029838
1362080101000,18.90132911
1362080221000,12.64642212
1362080341000,10.0052173
1362080461000,10.93651751
1362080581000,15.97496541
1362080701000,15.91720649
1362080821000,11.45706543
1362080941000,14.89226309
1362081061000,13.14999549
1362081181000,11.86349623
1362081301000,18.2280261
1362081421000,16.43049805
1362081541000,16.91759874
1362081661000,14.44830134
1362081781000,18.23854792
1362081901000,16.12868397
1362082021000,12.49540424
1362082141000,13.63358278
1362082261000,13.54082814
1362082381000,13.01749277
1362082501000,15.27144863
1362082621000,11.77957208
1362082741000,11.87038429
1362082861000,14.66536947
1362082981000,10.66714467
1362083101000,13.03900779
1362083221000,16.78357474
1362083341000,10.30803564
1362083461000,14.04675044
1362083581000,10.99190783
1362083701000,15.40442692
1362083821000,13.47138384
1362083941000,17.83294816
1362084061000,13.18854917
1362084181000,12.73565227
1362084301000,18.50002734
1362084421000,18.30356932
1362084541000,17.61697874
1362084661000,13.39058933
1362084781000,10.37003253
1362084901000,12.78483828
1362085021000,19.79478251
1362085141000,19.48639574
1362085261000,19.3665511
1362085381000,10.93545554
1362085501000,10.57900314
1362085621000,19.39751881
1362085741000,17.79903624
1362085861000,14.78029742
1362085981000,12.07456527
1362086101000,14.26712697
1362086221000,14.75421701
1362086341000,14.08850522
1362086461000,18.06720277
1362086581000,16.8015477
1362086701000,15.36550091
1362086821000,11.58790202
1362086941000,16.27444835
1362087061000,19.48297371
1362087181000,16.21402596
1362087301000,15.24135313
1362087421000,18.54298095
1362087541000,14.01009167
1362087661000,11.36840867
1362087781000,18.61749567
1362087901000,13.81072094
1362088021000,17.34464944
1362088141000,16.37074391
1362088261000,18.90823229
1362088381000,14.42437208
1362088501000,10.19234355
1362088621000,13.04094071
1362088741000,18.2738622
1362088861000,11.87372482
1362088981000,19.79131018
1362089101000,17.19155847
1362089221000,19.7515719
1362089341000,14.06163108
1362089461000,16.97601504
1362089581000,19.32460125
1362089701000,16.78322681
1362089821000,13.2844379
1362089941000,19.89320363
1362090061000,16.47623649
1362090181000,18.91185598
1362090301000,11.59962319
1362090421000,12.1860376
1362090541000,11.086477
1362090661000,16.84091169
1362090781000,17.27233706
1362090901000,17.60993172
1362091021000,10.7716297
1362091141000,14.49459285
1362091261000,16.27123893
1362091381000,15.67747792
1362091501000,11.85602908
1362091621000,15.58224086
1362091741000,19.99052273
1362091861000,16.21467262
1362091981000,18.35023174
1362092101000,12.11280261
1362092221000,19.41212107
1362092341000,14.25721692
1362092461000,13.76340132
1362092581000,19.03660094
1362092701000,15.96015166
1362092821000,18.392632
1362092941000,18.71330313
1362093061000,14.18656519
1362093181000,11.28141958
1362093301000,17.24905729
1362093421000,17.37461238
1362093541000,10.83412034
1362093661000,12.10525508
1362093781000,15.66928295
1362093901000,15.73185351
1362094021000,11.52566936
1362094141000,16.89233519
1362094261000,19.52523663
1362094381000,10.26308669
